index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
2216,Florida,2018-19,W. A. Metcalfe Elementary,,,,Alachua,2.0,-1.0,50.0,,,
820,Tennessee,2018-19,Henry C. Maxwell Elementary,,,Davidson ,,98.0,-1.0,91.8,,,
233,Michigan,2018-19,Donald J. Yacks Elem.,,,Macomb,L'Anse Creuse Public Schools,50.0,-1.0,98.0,,2.0,
526,Massachusetts,2018-19,Schofield Elementary,Public,Wellesley,Norfolk,,,98.0,-1.0,,3.4,
277,Arkansas,2018-19,St. Joe K-12,,"St. Joe, Ar",,,169.0,80.47338,-1.0,,,
39,California,2018-19,Ardenwood Elementary,Public,Fremont,Alameda,,142.0,99.0,99.0,,1.0,
366,New York,2017-18,Milestone,Private,Mt Vernon,Westchester,,,100.0,-1.0,,,
494,Minnesota,2017-18,Parkview Center Elementary,,,Ramsey,,80.0,95.0,-1.0,,,2.5
450,Oklahoma,,Ravia,,Ravia,Johnston,,,-1.0,93.0,,7.0,
142,Montana,2017-18,Elder Grove School Prek-8,,,Yellowstone,,597.0,98.49,-1.0,,0.335008375,
420,Wisconsin,2018-19,Falk Elementary,,Madison,Dane,,,-1.0,93.0,5.0,,5.0
349,Missouri,2018-19,Lift For Life Academy,,St. Louis,,,,87.9,-1.0,,,
663,Pennsylvania,2017,Central Elementary,,Franklin,,,63.0,98.4,-1.0,,,
7543,California,2018-19,Paradise Charter,Public,Modesto,Stanislaus,,13.0,-1.0,-1.0,,,
2255,Illinois,2018-19,Fulton Elementary,,Fulton,Whiteside,,409.0,97.55501222,-1.0,1.71,,
2291,Illinois,2018-19,Liberty Intermediate,,Bourbonnais,Kankakee,,398.0,97.48743719,-1.0,2.26,0.25,
3635,California,2018-19,Anna Hause Elementary,Public,Beaumont,Riverside,,119.0,97.0,94.0,,,
675,North Carolina,2018-19,Ranger Elementary/Middle,,,Cherokee,,28.0,-1.0,100.0,,,
3291,California,2018-19,Sunset Ranch Elementary,Public,Rocklin,Placer,,76.0,98.0,96.0,,1.0,
1055,Michigan,2018-19,North Sashabaw Elementary,,,Oakland,Clarkston Community School District,42.0,-1.0,92.9,,7.1,
330,Massachusetts,2018-19,Charlton Elementary,Public,Charlton,Worcester,,,99.0,-1.0,,0.7,
351,Florida,2018-19,West Oaks Elementary,,,,Orange,83.0,-1.0,97.59,,,
483,Michigan,2018-19,Hale Schools All Buildings,,,Iosco,Hale Area Schools,25.0,-1.0,96.0,,4.0,
274,Washington,,Mossyrock Elementary,,Mossyrock,Lewis,,,97.14,94.29,,,2.86
770,Arizona,2018-19,Haley Elementary,Public,Chandler,Maricopa,,142.0,91.55,-1.0,,0.7,11.27
542,Montana,2017-18,Riverview,,,Custer,,,-1.0,-1.0,,,
1473,Illinois,2018-19,Highland Elementary,,Downers Grove,Dupage,,412.0,98.54368932,-1.0,1.46,,
3072,New York,2017-18,Woodland Hill Montessori,Private,Rensselaer,Rensselaer,,,94.5,-1.0,5.53,0.5,
795,Washington,,Kokanee Elementary,,Woodinville,King,,,90.68,87.29,,0.85,1.69
423,Colorado,2017-18,Psas Jones,Kindergarten,,Pueblo,Arapahoe County,50.0,100.0,100.0,,,
519,California,2018-19,Jefferson Elementary,Public,Compton,Los Angeles,,100.0,99.0,99.0,,1.0,
